experiment,time_s,follower,cell,artifact_id,q_seg_max,qdot_seg_max,u_dot_bound,amplitude_guard_pass,slew_guard_pass,domain_pass,artifact_valid,lmi_margin_pass,effective_delay_mode_pass,authority
migration,0.66,2,C1,C1_SHARED_CERT_001,0.382918860667,0.339175426361,9291.77452098,1,1,1,1,1,1,N
migration,0.66,3,C1,C1_SHARED_CERT_001,0.384720885578,0.340122283919,10870.7589392,1,1,1,1,1,1,N
migration,0.66,4,C1,C1_SHARED_CERT_001,0.380780399221,0.335685724618,8430.00480288,1,1,1,1,1,1,N
migration,0.68,1,C1,C1_SHARED_CERT_001,0.410005882423,0.38001791229,8673.83221601,1,1,1,1,1,1,N
migration,0.68,2,C1,C1_SHARED_CERT_001,0.389252188117,0.316667198299,8678.60073848,1,1,1,1,1,1,N
migration,0.68,3,C1,C1_SHARED_CERT_001,0.391069237705,0.317418416913,10149.1665522,1,1,1,1,1,1,N
migration,0.68,4,C1,C1_SHARED_CERT_001,0.387044142584,0.313187911458,7868.18228926,1,1,1,1,1,1,N
migration,0.70,1,C1,C1_SHARED_CERT_001,0.417152677747,0.35734280927,8159.13498269,1,1,1,1,1,1,N
migration,0.70,2,C1,C1_SHARED_CERT_001,0.395131534922,0.293968137126,8060.17317282,1,1,1,1,1,1,N
migration,0.70,3,C1,C1_SHARED_CERT_001,0.396959507685,0.294514278156,9421.14391207,1,1,1,1,1,1,N
migration,0.70,4,C1,C1_SHARED_CERT_001,0.392854045871,0.290495881367,7301.45922625,1,1,1,1,1,1,N
migration,0.72,1,C1,C1_SHARED_CERT_001,0.423838918133,0.334314854557,7636.37676198,1,1,1,1,1,1,N
migration,0.72,2,C1,C1_SHARED_CERT_001,0.400554916369,0.271169828341,7438.98939508,1,1,1,1,1,1,N
migration,0.72,3,C1,C1_SHARED_CERT_001,0.402389520902,0.271501396738,8689.60303288,1,1,1,1,1,1,N
migration,0.72,4,C1,C1_SHARED_CERT_001,0.398208037277,0.267700249374,6732.1007835,1,1,1,1,1,1,N
migration,0.74,1,C1,C1_SHARED_CERT_001,0.430060262452,0.311069829147,7108.64309317,1,1,1,1,1,1,N
migration,0.74,2,C1,C1_SHARED_CERT_001,0.405522982856,0.248404030308,6818.64288568,1,1,1,1,1,1,N
migration,0.74,3,C1,C1_SHARED_CERT_001,0.407359740929,0.248511684898,7958.74118091,1,1,1,1,1,1,N
migration,0.74,4,C1,C1_SHARED_CERT_001,0.403106657509,0.244931643588,6163.37271758,1,1,1,1,1,1,N
migration,0.76,1,C1,C1_SHARED_CERT_001,0.435815307375,0.287754628268,6579.27237738,1,1,1,1,1,1,N
migration,0.76,2,C1,C1_SHARED_CERT_001,0.410039237311,0.225813371725,6203.02389821,1,1,1,1,1,1,N
migration,0.76,3,C1,C1_SHARED_CERT_001,0.411873488308,0.225687993526,7233.10403193,1,1,1,1,1,1,N
migration,0.76,4,C1,C1_SHARED_CERT_001,0.407553276411,0.222331523513,5598.81185109,1,1,1,1,1,1,N
migration,0.78,1,C1,C1_SHARED_CERT_001,0.441105543845,0.264513970284,6051.55380304,1,1,1,1,1,1,N
migration,0.78,2,C1,C1_SHARED_CERT_001,0.414109996785,0.203538561173,5595.97062462,1,1,1,1,1,1,N
migration,0.78,3,C1,C1_SHARED_CERT_001,0.415936902513,0.203171271633,6517.1771042,1,1,1,1,1,1,N
migration,0.78,4,C1,C1_SHARED_CERT_001,0.4115540552,0.200039459779,5041.90806247,1,1,1,1,1,1,N
migration,0.80,1,C1,C1_SHARED_CERT_001,0.445934993698,0.241474404345,5528.36385076,1,1,1,1,1,1,N
migration,0.80,2,C1,C1_SHARED_CERT_001,0.417744031312,0.181702249714,5000.82904518,1,1,1,1,1,1,N
migration,0.80,3,C1,C1_SHARED_CERT_001,0.419558579706,0.181084355649,5814.86991734,1,1,1,1,1,1,N
migration,0.80,4,C1,C1_SHARED_CERT_001,0.415117587313,0.178177065686,4495.70253862,1,1,1,1,1,1,N
migration,0.82,1,C1,C1_SHARED_CERT_001,0.450309673522,0.218735671517,5011.96990681,1,1,1,1,1,1,N
migration,0.82,2,C1,C1_SHARED_CERT_001,0.420952019951,0.160399890492,4420.20358584,1,1,1,1,1,1,N
migration,0.82,3,C1,C1_SHARED_CERT_001,0.422749026899,0.159522789865,5129.22384673,1,1,1,1,1,1,N
migration,0.82,4,C1,C1_SHARED_CERT_001,0.4182543572,0.156838893389,3962.56012593,1,1,1,1,1,1,N
migration,0.84,1,C1,C1_SHARED_CERT_001,0.45423705392,0.196370475914,4504.02501273,1,1,1,1,1,1,N
migration,0.84,2,C1,C1_SHARED_CERT_001,0.423745996995,0.139699246405,3855.94363097,1,1,1,1,1,1,N
migration,0.84,3,C1,C1_SHARED_CERT_001,0.42552010641,0.138554341045,4462.39660871,1,1,1,1,1,1,N
